,1:00:00,6:00:00,"1 day, 0:00:00","7 days, 0:00:00","31 days, 0:00:00"
BWC_Random,0.21197282963451727,0.2181271761401619,0.22399411149449563,0.21608503158726974,0.2245152669506422
BWC_uniform,0.36619611134496216,0.29887855601290797,0.29887855601290797,0.29887855601290797,0.29887855601290797
BWC_SQUISH,0.2785125869458339,0.09049409749532124,0.07237698885065323,0.06705170731372904,0.06090823070742464
BWC_SQUISH_Delay,0.18207378656685716,0.09031228313139075,0.07240299051419019,0.06708367535483607,0.060884642869240425
BWC_STTrace,0.27591768280500606,0.0890074486974088,0.06974529650947642,0.06361923509784774,0.05439706467695441
BWC_STTrace_Delay,0.09835945924606741,0.08123098687145144,0.06637477038115092,0.06317666942877566,0.05428799340586146
BWC_STTrace_Imp,0.2769659723476441,0.097918394547443,0.07773322547982511,0.07199129164916131,0.060548884275638065
BWC_STTrace_Imp_Delay,0.10824147848609803,0.09068138300700541,0.07522666641017578,0.07166846158117615,0.06048923946002824
BWC_DR,0.11553532267282647,0.10977263909924041,0.09281943361668941,0.08734941883729587,0.07195893217565133
