,12:00:00,"1 day, 0:00:00","2 days, 0:00:00","5 days, 0:00:00"
BWC_Random,0.24118066832999432,0.23486356398461364,0.23159208944803544,0.22794785925705616
BWC_uniform,0.2744440229812913,0.2680221032661279,0.2680221032661279,0.2680221032661279
BWC_SQUISH,0.1193037163855382,0.115576477296386,0.11497001318700796,0.11172650441306402
BWC_SQUISH_Delay,0.11889970902226123,0.11530248846168914,0.11490955035242385,0.11158625486947682
BWC_STTrace,0.0910435406902381,0.08765248901241092,0.0865499336680371,0.08518304772904876
BWC_STTrace_Delay,0.090393505394453,0.0875684929250695,0.08638260247716592,0.08524595691895318
BWC_STTrace_Imp,0.47999082430266143,0.4808170196766215,0.49857484511141875,0.5213461453313369
BWC_STTrace_Imp_Delay,0.4804174381997057,0.480295617970052,0.4982413007620944,0.5212200266925673
BWC_DR,0.1278171298143263,0.12515152184068554,0.12368397905903437,0.12264756225989602
