,1:00:00,6:00:00,"1 day, 0:00:00","7 days, 0:00:00","31 days, 0:00:00"
BWC_Random,0.38152323465956367,0.399675904244718,0.39778883304682083,0.3881043004532183,0.3947991737489164
BWC_uniform,0.5237773080999485,0.6960389936629024,0.6960389936629024,0.6960389936629024,0.6960389936629024
BWC_SQUISH,0.7026778995957019,0.2667560119503044,0.2235478051935613,0.21672018690772352,0.19638877138098548
BWC_SQUISH_Delay,0.35376716570820443,0.2655989600035579,0.22388422220041176,0.21714641946307653,0.19621978021574008
BWC_STTrace,0.699031413909434,0.25805123543702857,0.21997881490513826,0.20188228187013887,0.1805477564933715
BWC_STTrace_Delay,0.25488602481827605,0.21988621971033603,0.20645957058613312,0.20032458472862713,0.18006481086777862
BWC_STTrace_Imp,0.6997374377606479,0.2715932167158209,0.2357026421452712,0.2135921937969448,0.1902216797808825
BWC_STTrace_Imp_Delay,0.24993187472206588,0.23436383871573338,0.22315378974927108,0.2120687762913711,0.1896466753260842
BWC_DR,0.2653061949308125,0.27057171245873224,0.26938784970056173,0.2662927686494625,0.24138169024338507
