,taxi_12:00:00,"taxi_1 day, 0:00:00","taxi_2 days, 0:00:00","taxi_5 days, 0:00:00"
<class 'bwc.uniform.BWC_uniform'>,,,,
<class 'src.bwc.random.BWC_Random'>,19444.26375522682,37045.65173968719,82405.09259765361,169716.11286041702
<class 'src.bwc.STTraceImp.BWC_STTrace_Imp'>,19857.976963326106,37203.47536027685,79443.0074495435,199255.14298906233
<class 'src.bwc.STTraceImp_delay.BWC_STTrace_Imp_Delay'>,19901.76535111792,37255.697453791094,79496.73974982464,199292.7210210677
<class 'src.bwc.squish.BWC_SQUISH'>,19857.976963326117,37203.4753602768,79443.00744954347,199255.1429890622
<class 'src.bwc.squish_delay.BWC_SQUISH_Delay'>,19901.765351117916,37255.6974537911,79496.73974982466,199292.72102106776
<class 'src.bwc.sttrace.BWC_STTrace'>,19857.976963326117,37203.4753602768,79443.00744954347,199255.1429890622
<class 'src.bwc.sttrace_delay.BWC_STTrace_Delay'>,19901.765351117916,37255.6974537911,79496.73974982466,199292.72102106776
<class 'src.bwc.dr.BWC_DR'>,19857.976963326102,37203.475360276796,79443.00744954345,199255.14298906244
