,flights_0:01:00,flights_0:05:00,flights_0:15:00,flights_1:00:00
<class 'bwc.uniform.BWC_uniform'>,,,,
<class 'src.bwc.random.BWC_Random'>,35.0568359290055,154.9979525060928,451.77056512541554,1752.8863621736425
<class 'src.bwc.STTraceImp.BWC_STTrace_Imp'>,14.110809733063277,134.41074184749357,439.2010253376713,1778.5385899122377
<class 'src.bwc.STTraceImp_delay.BWC_STTrace_Imp_Delay'>,40.31264657771822,171.7956669766562,481.57620054078944,1834.1673649669906
<class 'src.bwc.squish.BWC_SQUISH'>,18.15777733031692,141.6082375743604,459.5110716750468,1864.9740639663871
<class 'src.bwc.squish_delay.BWC_SQUISH_Delay'>,47.55223586448828,183.90768091042352,506.6783168616894,1925.0846966505078
<class 'src.bwc.sttrace.BWC_STTrace'>,14.209514333882131,134.801620040501,439.2086364980775,1779.9436514636875
<class 'src.bwc.sttrace_delay.BWC_STTrace_Delay'>,39.79752074259475,171.3408492662705,481.54963337308567,1834.3661651956677
<class 'src.bwc.dr.BWC_DR'>,23.57413307749101,137.95544888622214,427.0318446219067,1712.2461665325036
