,ais_2_0:00:30,ais_2_0:01:00,ais_2_0:05:00,ais_2_0:15:00,ais_2_1:00:00,ais_2_2:00:00
<class 'bwc.uniform.BWC_uniform'>,,,,,,
<class 'src.bwc.random.BWC_Random'>,16.261625380269447,31.049975161450572,151.29152148664343,455.9487368421053,1817.289456521739,3590.8392045454543
<class 'src.bwc.STTraceImp.BWC_STTrace_Imp'>,2.630984446954557,5.444499602859413,78.48621632996633,380.4965625,1812.2183333333332,3735.149375
<class 'src.bwc.STTraceImp_delay.BWC_STTrace_Imp_Delay'>,29.752213926028823,58.44616299821535,250.2033791583587,583.5672137959692,2049.65832381348,3995.7172807472757
<class 'src.bwc.squish.BWC_SQUISH'>,3.6620905378399513,9.432188244638603,88.14972643097643,455.12,2217.6341666666667,4559.986979166667
<class 'src.bwc.squish_delay.BWC_SQUISH_Delay'>,38.211755513109914,73.47650208209399,327.1054675202015,705.4110741741118,2491.0552497663307,4847.887701089777
<class 'src.bwc.sttrace.BWC_STTrace'>,2.630984446954557,5.444499602859413,78.8096590909091,377.8384375,1836.9510416666667,3670.1602083333332
<class 'src.bwc.sttrace_delay.BWC_STTrace_Delay'>,29.027522139260288,58.25242910965695,203.8044915521041,535.4460835237898,2030.7017343441687,3895.7309807991696
<class 'src.bwc.dr.BWC_DR'>,15.342166999739334,28.067116759332805,139.9145622895623,435.4033333333333,1778.4835416666667,3538.5134375
