,ais_0:00:30,ais_0:01:00,ais_0:05:00,ais_0:15:00,ais_1:00:00,ais_2:00:00
<class 'bwc.uniform.BWC_uniform'>,,,,,,
<class 'src.bwc.random.BWC_Random'>,16.22813577992289,30.98883477454196,151.3991834723542,451.52375438596493,1812.0860144927535,3580.2385227272725
<class 'src.bwc.STTraceImp.BWC_STTrace_Imp'>,7.5512475006520035,18.48579658323401,138.59154040404042,452.54618055555557,1871.712361111111,3767.9174305555557
<class 'src.bwc.STTraceImp_delay.BWC_STTrace_Imp_Delay'>,32.102041998551776,57.756270266693136,212.96923292567544,531.1214528550614,1958.6839987512574,3859.491902202185
<class 'src.bwc.squish.BWC_SQUISH'>,7.576313425483208,19.319858296914315,143.76539702581368,471.40260416666666,1988.4459027777777,3984.6791319444446
<class 'src.bwc.squish_delay.BWC_SQUISH_Delay'>,37.46360608254888,66.25011580967507,223.8604618565371,554.9847013113161,2079.684519060668,4079.9362926998438
<class 'src.bwc.sttrace.BWC_STTrace'>,7.565330783273929,18.629784134551716,132.5633768237935,435.42322916666666,1850.7108680555555,3721.198263888889
<class 'src.bwc.sttrace_delay.BWC_STTrace_Delay'>,30.801882693700218,56.04582754284958,186.44156708834146,497.4322486644002,1923.7301675396302,3803.2842725854
<class 'src.bwc.dr.BWC_DR'>,14.778173809730795,28.979208051913655,147.1850098204265,444.4488888888889,1807.3931597222222,3571.2352083333335
