,0:01:00,0:05:00,0:15:00,1:00:00
BWC_Random,7223.4344329928535,8477.354704265212,7810.025813781946,7744.74962905667
BWC_uniform,9147.35992880217,9147.35992880217,9147.35992880217,9147.35992880217
BWC_SQUISH,8493.599234007637,1836.8394355158607,1972.499896016538,3143.012401790731
BWC_SQUISH_Delay,4768.605926738878,1858.1930768635484,1969.777724313908,3111.6400517258385
BWC_STTrace,7880.457046718588,1047.0205616992614,1152.6777281490959,2009.1402582586513
BWC_STTrace_Delay,2364.6167866048563,826.8644815230994,1118.044865910885,1973.9792938752105
BWC_STTrace_Imp,7880.1190443104115,361.4546965953632,271.38654304621565,259.91281474733614
BWC_STTrace_Imp_Delay,1253.26873522283,236.75257162300133,243.9418330352241,246.13001361532784
BWC_DR,1412.4374025757659,1257.7098758044162,1334.1620063446253,1360.5160073678487
