,1:00:00,6:00:00,"1 day, 0:00:00","7 days, 0:00:00","31 days, 0:00:00"
BWC_Random,1962.5308126342093,2169.317700266953,2088.019522359401,2021.354359503671,2163.4188863754152
BWC_uniform,7355.690113704621,4925.534087514998,4925.534087514998,4925.534087514998,4925.534087514998
BWC_SQUISH,3576.2317923699306,1061.0483960761524,884.0673735804297,938.3658881428033,777.0432588605879
BWC_SQUISH_Delay,1693.2644296768724,1056.8598869634368,885.8068209684874,937.5513581201104,776.1943185511686
BWC_STTrace,3436.4158530347286,876.238569352916,640.100574030209,640.1783859205136,547.3448384219904
BWC_STTrace_Delay,1154.4674660858796,671.3877974146725,670.1013988624344,664.7905695951408,545.9938807437547
BWC_STTrace_Imp,3436.5473476637085,754.8667019701187,506.0349467236043,394.31905754488014,282.96839404971854
BWC_STTrace_Imp_Delay,831.0651538270823,415.9883471271798,442.5997828507631,384.040557424223,281.8428103427511
BWC_DR,1289.6086766866729,1435.9578567820597,1662.0807105597391,1771.09514321623,2007.1384913500876
