,0:30:00,1:00:00,2:00:00,4:00:00,8:00:00
BWC_Random,601.4249215420692,780.102004039632,616.9648262557679,825.987570941248,769.3117099763696
BWC_uniform,619.101596665391,619.101596665391,619.101596665391,619.101596665391,619.101596665391
BWC_SQUISH,190.52433067959595,242.39423987132977,258.2244825996756,242.4191539550174,217.74340821776528
BWC_SQUISH_Delay,189.18973981589383,242.33606489684823,256.81026497492513,240.74042111967333,216.9646764767997
BWC_STTrace,103.90648108121636,138.71856248895557,138.50091327161675,147.03833314472985,122.46224132124127
BWC_STTrace_Delay,103.43232170719588,132.45095543369825,137.0045189848572,145.70870556550992,125.22822879521551
BWC_STTrace_Imp,81.98231501359805,83.61191609550862,82.79077013688187,83.04218677082784,83.66809356029296
BWC_STTrace_Imp_Delay,85.35867638181598,83.6874352816433,83.23422299504183,82.62255994000972,83.66531844383428
BWC_DR,213.56163548875824,196.998080939527,222.29942021621986,195.85268005558282,211.1460823767531
