30, 60, 120, 240, 480
BWC_Random,907.150971084744,1809.2713740812972,3624.764195989936,7225.272742081204,14736.663139237606
BWC_STTrace_Imp,620.906472201845,1355.8181150029397,2774.980568407289,5617.636429449514,11046.408449387116
BWC_STTrace_Imp_Delay,728.328465308944,1464.8223995932212,2908.8617194462954,5778.062450037095,11225.669276989152
BWC_SQUISH,1020.7875288222829,2152.1378123323198,4405.039733295773,9060.772139118968,18441.93544609469
BWC_SQUISH_Delay,1247.2219040536634,2388.071367346012,4652.509416533353,9322.486415320986,18745.10671239147
BWC_STTrace,936.909442900294,1975.0255682587185,4033.9049025518557,8306.27383745012,16910.908720853407
BWC_STTrace_Delay,1109.7701885801919,2159.689563251553,4242.685450870222,8533.014713522458,17166.81288251231
BWC_DR,833.5240947855839,1686.7860419040956,3410.308788876115,6953.081989591393,13999.92715647055
