algorithm,flights_10_15m,flights_10_5m
BWC_DR,850.5374687312985,813.0875564512883
BWC_STTrace,617.2640562187784,414.3132665591218
BWC_STTrace_Imp,163.18836449944735,192.90098671073042
BWC_Squish,965.5788880861969,716.3529972838048
algorithm,flights_10_15m,flights_10_1m,flights_10_5m,flights_10_60m
BWC_DR,850.5374687312985,818.5155444540986,813.0875564512883,864.7665378984468
BWC_STTrace,617.2640562187784,14300.771023239857,414.3132665591218,1182.4201821420565
BWC_STTrace_Imp,163.18836449944735,14300.771023239857,192.90098671073042,157.3451802136074
BWC_Squish,965.5788880861969,14500.98045973194,716.3529972838048,1970.2336731734092
algorithm,flights_10_15m,flights_10_1m,flights_10_5m,flights_10_60m
BWC_DR,70.93495907731491,63.763967230158386,69.55959605178957,74.82800346236728
BWC_STTrace,28.47256367475771,25.94510752336951,26.040128847335506,34.09662116225303
BWC_STTrace_Imp,23.835933503422904,26.7569462412705,24.460139581775977,23.81421561168793
BWC_Squish,40.15831040894441,36.15374230304398,32.683850018731135,53.707511171609056
algorithm,flights_10_15m,flights_10_1m,flights_10_5m,flights_10_60m
BWC_DR,145.6135039966628,125.52241176843516,141.5249230084485,151.4639253951389
BWC_STTrace,28.47256367475771,25.94510752336951,26.040128847335506,34.09662116225303
BWC_STTrace_Delay,31.311264068073168,34.28871626127852,29.69382024355134,36.452272218991844
BWC_STTrace_Imp,23.835933503422904,26.7569462412705,24.460139581775977,23.81421561168793
BWC_STTrace_Imp_Delay,23.704481158081038,23.969812152835782,24.11228085119397,23.701698057495364
BWC_Squish,40.15831040894441,36.15374230304398,32.683850018731135,53.707511171609056
BWC_Squish_Delay,45.18210312502234,45.2597017221423,39.65649991999378,56.949604969754944
algorithm,flights_10_15m,flights_10_1m,flights_10_5m,flights_10_60m
BWC_DR,145.6135039966628,125.52241176843516,141.5249230084485,151.4639253951389
BWC_STTrace,28.47256367475771,25.94510752336951,26.040128847335506,34.09662116225303
BWC_STTrace_Delay,31.311264068073168,34.28871626127852,29.69382024355134,36.452272218991844
BWC_STTrace_Imp,23.835933503422904,26.7569462412705,24.460139581775977,23.81421561168793
BWC_STTrace_Imp_Delay,23.704481158081038,23.969812152835782,24.11228085119397,23.701698057495364
BWC_Squish,40.15831040894441,36.15374230304398,32.683850018731135,53.707511171609056
BWC_Squish_Delay,45.18210312502234,45.2597017221423,39.65649991999378,56.949604969754944
algorithm,flights_10_15m,flights_10_1m,flights_10_5m,flights_10_60m
BWC_DR,1334.1620063446253,1412.4374025757659,1257.7098758044162,1360.5160073678487
BWC_STTrace,1152.6777281490959,7880.457046718588,1047.0205616992614,2009.1402582586513
BWC_STTrace_Delay,1118.044865910885,2364.6167866048563,826.8644815230994,1973.9792938752105
BWC_STTrace_Imp,275.1700732744837,7881.684350625937,363.6635080496199,264.3309012460068
BWC_STTrace_Imp_Delay,246.9877336948451,1223.2290660665642,238.270798472282,251.8875188816317
BWC_Squish,1972.499896016538,8493.599234007637,1836.8394355158607,3143.012401790731
BWC_Squish_Delay,1969.777724313908,4768.605926738878,1858.1930768635484,3111.6400517258385
algorithm,flights_10_15m,flights_10_1m,flights_10_5m,flights_10_60m
BWC_DR,1334.1620063446253,1412.4374025757659,1257.7098758044162,1360.5160073678487
BWC_STTrace,1152.6777281490959,7880.457046718588,1047.0205616992614,2009.1402582586513
BWC_STTrace_Delay,1118.044865910885,2364.6167866048563,826.8644815230994,1973.9792938752105
BWC_STTrace_Imp,275.1700732744837,7881.684350625937,363.6635080496199,264.3309012460068
BWC_STTrace_Imp_Delay,246.9877336948451,1223.2290660665642,238.270798472282,251.8875188816317
BWC_Squish,1972.499896016538,8493.599234007637,1836.8394355158607,3143.012401790731
BWC_Squish_Delay,1969.777724313908,4768.605926738878,1858.1930768635484,3111.6400517258385
