DR,16.284796209260445,7.8277770842721495,2075.5926469866845,561.4651728444082
SQUISH,20.688252163805927,4.828647794068963,585.3410642206501,44.94562581332282
STTrace,6.729004798134531,1.638074626229527,305.4911201832376,25.31426397446949
TDTR,2.9513935735543937,1.0834731248251117,274.78075927347203,26.871735711471526
algorithm,AIS_10,AIS_30,birds_10,birds_30
DR,14.109581790871694,6.03906322524925,1683.097034888048,292.82510695921917
SQUISH,20.688252163805927,4.828647794068963,585.3410642206501,44.94562581332282
STTrace,6.729004798134531,1.638074626229527,305.4911201832376,25.31426397446949
TDTR,2.9513935735543937,1.0834731248251117,274.78075927347203,26.871735711471526
algorithm,birds_10,birds_30
DR,1794.236966092427,309.6535635955655
SQUISH,585.3410642206501,44.94562581332282
STTrace,305.4911201832376,25.31426397446949
TDTR,274.78075927347203,26.871735711471526
algorithm,birds_10,birds_30
DR,1794.236966092427,309.6535635955655
SQUISH,585.3410642206501,44.94562581332282
STTrace,305.4911201832376,25.31426397446949
TDTR,274.78075927347203,26.871735711471526
algorithm,birds_10,birds_30
DR,1794.236966092427,309.6535635955655
TDTR,274.78075927347203,26.871735711471526
algorithm,birds_10,birds_30
DR,1794.236966092427,309.6535635955655
TDTR,274.78075927347203,26.871735711471526
algorithm,birds_10,birds_30
DR,1794.236966092427,309.6535635955655
TDTR,274.78075927347203,26.871735711471526
algorithm,birds_10,birds_30
DR,1794.236966092427,309.6535635955655
TDTR,274.78075927347203,26.871735711471526
algorithm,birds_10,birds_30
DR,1794.236966092427,309.6535635955655
TDTR,274.78075927347203,26.871735711471526
algorithm,birds_10,birds_30
DR,410.0541897488485,19.89569970598908
TDTR,274.78075927347203,26.871735711471526
algorithm,birds_10,birds_30
DR,726.0378430586004,46.66495322849397
TDTR,274.78075927347203,26.871735711471526
algorithm,birds_10,birds_30
DR,726.0378430586004,39.476668416843424
TDTR,274.78075927347203,26.871735711471526
algorithm,birds_10,birds_30
DR,726.0378430586004,34.21564588545727
TDTR,274.78075927347203,26.871735711471526
algorithm,AIS_10,AIS_30,birds_10,birds_30,flights_10,flights_30
DR,7.188241807562304,2.207499615329928,726.0378430586004,36.75389001512858,547.8902478580045,135.47288623623385
SQUISH,20.688252163805927,4.828647794068963,585.3410642206501,44.94562581332282,1244.5505927750203,69.35214040230623
STTrace,6.729004798134531,1.638074626229527,305.4911201832376,25.31426397446949,682.4251562763923,34.655591234747085
TDTR,2.9513935735543937,1.0834731248251117,274.78075927347203,26.871735711471526,154.21818193639078,22.035992412190616
