algorithm,flights_30_15m,flights_30_1m,flights_30_5m,flights_30_60m
BWC_DR,60.57120052371298,16.037135322205867,18.29072566043491,17.30561764278564
BWC_STTrace,3.620522753083019,0.7251956575382591,0.7138318291120859,0.5958790057655671
BWC_STTrace_Delay,18.92358767576597,0.713170982740356,2.3830211144129567,4.552528926275022
BWC_STTrace_Imp,15.58754078599678,6.431057085816629,6.882477988638333,6.488314272724088
BWC_STTrace_Imp_Delay,15.545085549983545,6.435336089689594,6.839864127846795,6.436928281060389
BWC_Squish,4.752093055770613,0.8209671535746659,0.8298475451228979,0.68105497998564
BWC_Squish_Delay,5.668841173609737,0.8077549549176409,0.9209033096917618,0.7363676230776426
algorithm,flights_30_15m,flights_30_1m,flights_30_5m,flights_30_60m
BWC_DR,60.57120052371298,16.037135322205867,18.29072566043491,17.30561764278564
BWC_STTrace,3.620522753083019,0.7251956575382591,0.7138318291120859,0.5958790057655671
BWC_STTrace_Delay,18.92358767576597,0.713170982740356,2.3830211144129567,4.552528926275022
BWC_STTrace_Imp,15.58754078599678,6.431057085816629,6.882477988638333,6.488314272724088
BWC_STTrace_Imp_Delay,15.545085549983545,6.435336089689594,6.839864127846795,6.436928281060389
BWC_Squish,4.752093055770613,0.8209671535746659,0.8298475451228979,0.68105497998564
BWC_Squish_Delay,5.668841173609737,0.8077549549176409,0.9209033096917618,0.7363676230776426
algorithm,flights_30_15m,flights_30_1m,flights_30_5m,flights_30_60m
BWC_DR,287.5480055531171,257.53023396632625,276.8079408390648,318.4657996515429
BWC_STTrace,98.73079439300113,2105.7727237387376,75.02795125308059,146.36057144819594
BWC_STTrace_Delay,98.19328754243237,244.57382211880588,76.83049941847443,144.74566157023042
BWC_STTrace_Imp,41.31661033874908,2101.9503673044974,43.19718027303385,40.23659510306755
BWC_STTrace_Imp_Delay,40.267721107825665,161.49590705317215,40.22313595487273,39.907749298382285
BWC_Squish,160.60801550649472,2386.5886538750383,115.27426072971588,255.46087340183345
BWC_Squish_Delay,159.3683695267375,664.9613270094613,114.10971882337587,254.9588851767835
algorithm,flights_30_15m,flights_30_1m,flights_30_5m,flights_30_60m
BWC_DR,287.5480055531171,257.53023396632625,276.8079408390648,318.4657996515429
BWC_STTrace,98.73079439300113,2105.7727237387376,75.02795125308059,146.36057144819594
BWC_STTrace_Delay,98.19328754243237,244.57382211880588,76.83049941847443,144.74566157023042
BWC_STTrace_Imp,41.31661033874908,2101.9503673044974,43.19718027303385,40.23659510306755
BWC_STTrace_Imp_Delay,40.267721107825665,161.49590705317215,40.22313595487273,39.907749298382285
BWC_Squish,160.60801550649472,2386.5886538750383,115.27426072971588,255.46087340183345
BWC_Squish_Delay,159.3683695267375,664.9613270094613,114.10971882337587,254.9588851767835
