,1:00:00,6:00:00,"1 day, 0:00:00","7 days, 0:00:00","31 days, 0:00:00"
BWC_Random,0.2635720957098223,0.2718866418809385,0.2685021437506295,0.2689933247359749,0.2702475310058159
BWC_uniform,0.2625953530725641,0.26774592474713915,0.26774592474713915,0.26774592474713915,0.26774592474713915
BWC_SQUISH,0.24537672028172625,0.06536239489050936,0.047815521572097834,0.04175992272147759,0.034440968620119944
BWC_SQUISH_Delay,0.25052379175396156,0.06524502165948436,0.04788874266935691,0.04179598633090637,0.03441279588035429
BWC_STTrace,0.2457453178125419,0.05050831218021713,0.036233458563379076,0.03117341297242159,0.024541383678217156
BWC_STTrace_Delay,0.09348612837732352,0.042752098136032195,0.033149881495247446,0.03077264429003096,0.024489077313066262
BWC_STTrace_Imp,0.24628869199559827,0.05827356444081381,0.04281536931510096,0.03823426144436842,0.02887384601773507
BWC_STTrace_Imp_Delay,0.10600182600428296,0.05129390890751741,0.04079934564442907,0.0380054074828552,0.028822586914794973
BWC_DR,0.18757309690823223,0.14626333229667174,0.1462733767836067,0.13804609171427748,0.12423601547824834
