,12:00:00,"1 day, 0:00:00","2 days, 0:00:00","5 days, 0:00:00"
BWC_Random,0.3442385118703573,0.33467320910282905,0.33608358668652344,0.3228467190010994
BWC_uniform,0.3886760279991498,0.37987182620029236,0.37987182620029236,0.37987182620029236
BWC_SQUISH,0.1611001760259357,0.15597304986488517,0.1576722235973193,0.1474929607255121
BWC_SQUISH_Delay,0.16061580288852803,0.1556754073966865,0.1576024308015873,0.14728114523953256
BWC_STTrace,0.12176556691483405,0.1177583771533795,0.11761977251031466,0.11225244452116923
BWC_STTrace_Delay,0.12090727870367804,0.11773846104539744,0.11744416251421388,0.11227673526249511
BWC_STTrace_Imp,0.6572636831511173,0.6572305643171668,0.6905473110900845,0.7304064222896588
BWC_STTrace_Imp_Delay,0.6585559320186386,0.6573065174824699,0.6900750162033982,0.7302208751083127
BWC_DR,0.17578761261964373,0.17327255019706114,0.17261799013477908,0.17154583134901974
