,0:00:30,0:01:00,0:05:00,0:15:00,1:00:00,2:00:00
BWC_Random,0.11510208593631972,0.1191897058426219,0.12120105258564694,0.12515459236932808,0.12264455785402725,0.12178022411386007
BWC_uniform,0.127160874414364,0.12974600613377735,0.12137094857534508,0.1288640496798709,0.1288640496798709,0.1288640496798709
BWC_SQUISH,0.1504646518920714,0.14142933640249003,0.09813015541646744,0.07046972345378777,0.06740012022064584,0.06587924405995306
BWC_SQUISH_Delay,0.10722422553689387,0.11177571915989151,0.09651302142596645,0.07019873649271696,0.06753356131317143,0.06570904941149545
BWC_STTrace,0.14044713771749903,0.1323980314882645,0.08308128634506298,0.05769896222913406,0.05435371354660764,0.0536057698710186
BWC_STTrace_Delay,0.09329999318442037,0.08058286495972548,0.055506460087256626,0.05355692537110157,0.05348667624043757,0.053137959032628634
BWC_STTrace_Imp,0.14044713771749903,0.1323980314882645,0.08077185013370078,0.05955976804900104,0.056893605618276964,0.05659573856716862
BWC_STTrace_Imp_Delay,0.09046950695481662,0.07881671420617004,0.059329167486342954,0.05718541213854087,0.05625948567363534,0.05621817994699787
BWC_DR,0.08102537577696968,0.08342496244197804,0.0846267937319725,0.08245254312766699,0.08496920770803358,0.0836086487508753
,0:00:30,0:01:00,0:05:00,0:15:00,1:00:00,2:00:00
BWC_DR,0.08102537577696968,0.08342496244197804,0.0846267937319725,0.08245254312766699,0.08496920770803358,0.0836086487508753
