,ais_anomalies_0:00:15,ais_anomalies_0:00:30
<class 'src.bwc.dr.BWC_DR'>,7.052156932362862,14.59269716509596
<class 'bwc.dr_anomaly.BWC_DR_anomaly_new'>,6.857873246937689,14.380098439467359
