,birds_1:00:00,birds_6:00:00,"birds_1 day, 0:00:00","birds_7 days, 0:00:00","birds_31 days, 0:00:00"
<class 'bwc.uniform.BWC_uniform'>,,,,,
<class 'src.bwc.random.BWC_Random'>,1891.2420280893914,10898.533943802728,43196.98534224799,296381.2822522835,1361333.1753957255
<class 'src.bwc.STTraceImp.BWC_STTrace_Imp'>,888.1298225478944,9451.735994624902,42516.372772185794,288957.5408412002,1192421.241700258
<class 'src.bwc.STTraceImp_delay.BWC_STTrace_Imp_Delay'>,2970.2145503462266,12725.620338669381,45887.71792801107,314025.31187153934,1228243.0053880287
<class 'src.bwc.squish.BWC_SQUISH'>,912.8888055089609,9983.515314396924,44055.03783821221,304873.1019367992,1293821.8923637846
<class 'src.bwc.squish_delay.BWC_SQUISH_Delay'>,3754.8462267895734,13904.567386878874,48271.19517766497,330822.34489479515,1330489.831839174
<class 'src.bwc.sttrace.BWC_STTrace'>,894.2286351196257,9512.390436031694,42392.133345645954,288844.0828568896,1175302.047805607
<class 'src.bwc.sttrace_delay.BWC_STTrace_Delay'>,2960.3581793322455,12550.787614509114,44953.314097831106,313252.4806866002,1210361.504640949
<class 'src.bwc.dr.BWC_DR'>,1897.2949589476473,10874.034335758306,42546.1628959276,285942.5243761911,1172237.8714842158
